r,expansion_rate,drift,c_leading,c_trailing,decayed,mass_growth
0.6,-3.704161007534321e-05,-0.9002205330818849,-0.9002205330818849,-0.9001464498617342,False,1.000000000365803
0.65,-2.469440671710771e-06,-0.9648572434869263,-0.9647518806849342,-0.9647469418035909,False,1.000000000336247
0.7,-2.551755360747958e-05,-1.0234884861809044,-1.0236251285647378,-1.0235740934575228,False,1.000000003455452
0.75,8.23146890560082e-06,-1.0776345155452716,-1.0776592099519884,-1.0776756728897996,False,1.0000001059529213
0.78,1.3993497139535972e-05,-1.108357301336265,-1.1082749866472088,-1.108302973641488,False,1.0000026788788734
0.8,0.0003811170103304476,-1.1279910841265433,-1.1276288994946957,-1.1283911335153567,False,1.000049117706299
0.82,0.006684775898259053,-1.1418173063580077,-1.1344435565123476,-1.1478131083088658,False,1.006097036740919
0.833,0.25792813927645386,-0.9117354311560635,-0.6442653731242077,-1.1601216516771153,False,2.061477012363371
0.85,0.3504803062106433,-0.8324275487518829,-0.47502375404471736,-1.175984366466004,False,2.282397268941927
0.88,0.4482849734535128,-0.7597557687781815,-0.3065080427214667,-1.2030779896284924,False,2.4354902750073872
0.92,0.543970860600074,-0.6984950747137109,-0.15130817921220863,-1.2392499004123567,False,2.5325962787321807
0.96,0.6216553483969215,-0.6543132068548377,-0.029870683086471117,-1.273181379880314,False,2.5878014910036984
1.0,0.6893394246203235,-0.6193703976954545,0.07230182521272333,-1.3063770240279236,False,2.6241019582006966
1.05,0.7644919125818002,-0.5837276209096827,0.18296785589815356,-1.3460159692654465,False,2.655172070798723
1.1,0.832678899948111,-0.5539749855552524,0.280787031521025,-1.3845707683751969,False,2.676641953434669
