kind,R,value
tau_decay,1900.0,2831.688888888889
tau_decay,1950.0,8057.63
tau_decay,2000.0,17417.833333333332
tau_decay,2020.0,43603.1
tau_decay,2040.0,52699.36
tau_decay,2060.0,109387.46153846153
tau_split,2020.0,190207.0
tau_split,2040.0,46760.76190476191
tau_split,2060.0,26449.441176470587
tau_split,2080.0,14011.241379310344
tau_split,2120.0,4484.713043478261
tau_split,2160.0,2040.485294117647
tau_split,2200.0,2073.421875
F_t,2000.0,0.030693069306930693
F_t,2040.0,0.05167326732673267
F_t,2080.0,0.0886039603960396
F_t,2120.0,0.12001980198019802
F_t,2160.0,0.2558019801980198
F_t,2200.0,0.2777029702970297
F_t,2300.0,0.3422871287128713
F_t,2500.0,0.5064158415841584
